,index,date,flag,wind_id,time,open,high,low,close,io,all_volume,all_turnover,preclose,average_price,date_time,factor,ud_last,sum_ud,buy_start,buy_count,sell_count,buy_sum,sell_sum,buy_n,sell_n,sig,stop_price,pos
0,0,20150416,0.0,IC1505,93000000,7527.4,7789.0,7515.0,7723.0,7450,68946,106076328720,7707.8,7692.710869376033,2015-04-16 15:00:00,0,,0.0,,,,,,,,0.0,,0.0
1,1,20150416,1.0,IC1505,133000000,7722.8,7727.4,7560.4,7707.8,6643,37786,57901359680,7788.0,7661.74769491346,2015-04-16 15:00:00,0,0.0,0.0,,,,,,,,0.0,,0.0
2,2,20150417,0.0,IC1505,93000000,7663.0,7918.8,7656.0,7788.0,9927,74396,116151453080,7758.2,7806.296916500887,2015-04-17 15:00:00,0,0.0,0.0,,,,,,,,0.0,,0.0
3,3,20150417,1.0,IC1505,133000000,7788.0,7869.8,7745.2,7758.2,9144,34037,53105056720,7725.6,7801.077756559039,2015-04-17 15:00:00,0,0.0,0.0,,,,,,,,0.0,,0.0
4,4,20150420,0.0,IC1505,93000000,7677.4,7832.8,7662.0,7725.6,11089,50794,78851135360,7622.2,7761.855274244989,2015-04-20 15:00:00,1,0.0,1.0,,,,,,,,0.0,,0.0
5,5,20150420,1.0,IC1505,133000000,7724.0,7750.0,7583.0,7622.2,10706,37828,57901001200,7930.8,7653.193560325685,2015-04-20 15:00:00,-1,1.0,-1.0,,,,,,,,0.0,,0.0
6,6,20150421,0.0,IC1505,93000000,7655.0,7955.0,7640.2,7930.8,14880,64034,99950508120,8140.4,7804.487312989974,2015-04-21 15:00:00,1,-1.0,1.0,,,,,,,,0.0,,0.0
7,7,20150421,1.0,IC1505,133000000,7930.4,8147.0,7880.4,8140.4,16732,64214,102828965640,8192.0,8006.74040240446,2015-04-21 15:00:00,1,1.0,2.0,,,,,,,,0.0,,0.0
8,8,20150422,0.0,IC1505,93000000,8127.6,8228.0,8104.6,8192.0,16256,69751,113688165040,8189.8,8149.572410431391,2015-04-22 15:00:00,1,1.0,3.0,,,,,,,,0.0,,0.0
9,9,20150422,1.0,IC1505,133000000,8192.0,8237.2,8164.8,8189.8,14870,40450,66314179360,8274.4,8197.05554511743,2015-04-22 15:00:00,1,1.0,4.0,1.0,,,,,,,0.0,,0.0
