,index,date,flag,wind_id,time,open,high,low,close,io,all_volume,all_turnover,preclose,average_price,date_time,factor,ud_last,sum_ud,buy_start,buy_count,sell_count,buy_sum,sell_sum,buy_n,sell_n,sig,stop_price,pos
0,0,20150416,0.0,IC1505,93000000,7527.4,7789.0,7515.0,7707.8,6643,106732,163977688400,7758.2,7681.749072443128,2015-04-16 15:00:00,0,,0.0,,,,,,,,0.0,,0.0
1,1,20150417,0.0,IC1505,93000000,7663.0,7918.8,7656.0,7758.2,9144,108433,169256509800,7622.2,7804.658627908478,2015-04-17 15:00:00,0,0.0,0.0,,,,,,,,0.0,,0.0
2,2,20150420,0.0,IC1505,93000000,7677.4,7832.8,7583.0,7622.2,10706,88622,136752136560,8140.4,7715.473390354539,2015-04-20 15:00:00,0,0.0,0.0,,,,,,,,0.0,,0.0
3,3,20150421,0.0,IC1505,93000000,7655.0,8147.0,7640.2,8140.4,16732,128248,202779473760,8189.8,7905.755791903187,2015-04-21 15:00:00,0,0.0,0.0,,,,,,,,0.0,,0.0
4,4,20150422,0.0,IC1505,93000000,8127.6,8237.2,8104.6,8189.8,14870,110201,180002344400,8265.6,8167.001406520812,2015-04-22 15:00:00,1,0.0,1.0,,,,,,,,0.0,,0.0
5,5,20150423,0.0,IC1505,93000000,8196.0,8378.0,8161.8,8265.6,14805,124641,205984428040,8327.2,8263.108769987404,2015-04-23 15:00:00,1,1.0,2.0,,,,,,,,0.0,,0.0
6,6,20150424,0.0,IC1505,93000000,8169.0,8349.4,8124.8,8327.2,14603,116490,191610889280,8347.0,8224.34926946519,2015-04-24 15:00:00,1,1.0,3.0,,,,,,,,0.0,,0.0
7,7,20150427,0.0,IC1505,93000000,8461.0,8547.8,8292.0,8347.0,15188,116577,195806721000,8147.4,8398.171208728994,2015-04-27 15:00:00,1,1.0,4.0,1.0,,,,,,,0.0,,0.0
8,8,20150428,0.0,IC1505,93000000,8409.0,8419.0,8012.4,8147.4,15898,155369,254268302800,8302.2,8182.723155841898,2015-04-28 15:00:00,-1,1.0,-1.0,,,,,,,,0.0,,0.0
9,9,20150429,0.0,IC1505,93000000,8120.0,8308.6,8102.0,8302.2,17677,125378,206362323800,8338.6,8229.606621576353,2015-04-29 15:00:00,1,-1.0,1.0,,,,,,,,0.0,,0.0
10,10,20150430,0.0,IC1505,93000000,8369.6,8408.0,8291.6,8338.6,16358,114225,190821053120,8348.2,8352.858530094112,2015-04-30 15:00:00,1,1.0,2.0,,,,,,,,0.0,,0.0
11,11,20150504,0.0,IC1505,93000000,8338.0,8366.6,8203.6,8348.2,16272,94464,156915667320,8145.0,8305.58029090447,2015-05-04 15:00:00,1,1.0,3.0,,,,,,,,0.0,,0.0
12,12,20150505,0.0,IC1505,93000000,8317.8,8339.8,8090.0,8145.0,15885,105374,173133861440,8040.8,8215.207804581776,2015-05-05 15:00:00,-1,1.0,-1.0,,,,,,,,0.0,,0.0
13,13,20150506,0.0,IC1505,93000000,8200.2,8280.6,7970.0,8040.8,15456,105304,172149415640,7911.4,8173.925759705234,2015-05-06 15:00:00,-1,-1.0,-2.0,,,,,,,,0.0,,0.0
14,14,20150507,0.0,IC1505,93000000,8013.6,8038.0,7901.2,7911.4,15127,102919,163889305720,8171.2,7962.052960094832,2015-05-07 15:00:00,-1,-1.0,-3.0,,,,,,,,0.0,,0.0
15,15,20150508,0.0,IC1505,93000000,7991.4,8171.2,7922.2,8171.2,16258,116179,186586149360,8489.8,8030.115139569113,2015-05-08 15:00:00,-1,-1.0,-4.0,-1.0,,,,,,,0.0,,0.0
16,16,20150511,0.0,IC1505,93000000,8194.4,8507.6,8152.2,8489.8,16314,116328,193687362240,8648.0,8325.053393851867,2015-05-11 15:00:00,1,-1.0,1.0,,,1.0,,1.0,,0.0,0.0,,0.0
17,17,20150512,0.0,IC1505,93000000,8496.6,8648.0,8416.0,8648.0,14671,145268,247614307240,8695.8,8522.672138392489,2015-05-12 15:00:00,1,1.0,2.0,,,,,,,,0.0,,0.0
18,18,20150513,0.0,IC1505,93000000,8521.8,8778.8,8509.0,8695.8,14624,176962,306661939200,8760.4,8664.62684644161,2015-05-13 15:00:00,1,1.0,3.0,,,,,,,,0.0,,0.0
